name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Oktoberianto Wonodiharjo,"There is a lot of rubbish in the pool, keep it clean and hopefully it will be better","Local Guide · 711 reviews · 6,719 photos",Edited 6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DP6N_ewL6wx-VyOT0L8NDOGV2L4miZAlE1YbNdbAoqGJGr9HYB2HTWUItPj5rQnnuBnzgn4hOwazTaZjUyvkoroNV0t2Y0LKLv_RH98b5fYW8CSvrXXAgnKRNC-r1V-AOIEJ99=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Bld_X1ptVq6FL7EZoYaM75sakC7vObyhi0DIoxhTwCkE6j3xxTZw8t5kD1QN76mikdBlao19MBFnCMOFFsbt2sy-SlyiHOMAtgCqO8KrzjFEV-9ucbh4wwjIB4ZW5VHHeo_u4=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BUhkAswHwRlLJH4lXpttJxmtENvprXdHcg3tfO717HHZmiqSdWIUuprqYBVVbEDtgSb5rjxTgiv_itnvLrGSs7LxvSDXhH4YO7imkjh7ai4bSlbAd2hxeVmWwDJLdU9UJogzpShQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90C6YdzhcXfynqD8HRp85ZxFVnfeytxWx_a1rwVIdPYnojVrV-CUCv925iHLTar4Ckql50dz8WOVVDB5Fy2kUwsh8mTKv9E7Y_RrY1quuaFQ1wCHd_yTkQ6W2bTDqrn12bnPnf_V8g=w300-h225-p']",3 stars,3
lasiyah lestari,"it's hot, the weeds are too high, the roads also need to be repaired",Local Guide · 10 reviews · 50 photos,7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90ChmDwMk_Hx4KGea1-hmw2R23ZbHUGcmjF6pwN3kzBvn_F6E8k2S-sRA37icRUnMk-5KcKHhiuHV7rGh0iAjdBaeUY7nXBVN0qIYiYsEpCqLzXZkC5Eh_c6UO7WMw13vlc_z7uguw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BCrPbULbxSiimRPD2PCQSm1RyVLb0D7CfAydN5eJZHjNhf809d3c1trgjNq6XRu9fQow1q5ebdPBVY_SN-RRosqXhPAs0rdquVLCQkrW_UZA8Jak7OMWJvgMyuojFjhu5LoU-3iA=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AGzQzBLn9CToxL4MFo64hdKeFYvHmCBOueUKsSfNyKmJsaPoSDFDUqln6a50tK-P9ljp17_7PtJ1V3aGpYt_w1jRhoaprTvUn0xf3ztZ979omuoldE1vkxRgLj7cU8A38uCyU=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DympEmX1TuD58qZW1q3-7jitYToZbRRYWFv7h_VXdRhA7W62tynXp7TsQxAE_H7Cr1-jWQt3dXjXU1DkntcCalnqIkY8cbHrTHb37Q2BFL9uheKzGtFtW6WVpvlwDeH3xWaNY_=w300-h225-p']",4 stars,4
kusuma prabowo,the statue and pool are still good. It would be better if regular maintenance was carried out so that the photos would be better,"Local Guide · 653 reviews · 2,768 photos",7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90CLwEFLzlRIcCAEVvU6bP4LFLJe4ujvzPNUrx_vwZKOnnNL7EYdTd-e31XWhhW_gMapsn8lK3Ao3-FrP_U_61zYoLNDPxPJQsZK1eymTdGKeeTJn5zWRqaobYWXi2sotsaj2P7UWg=w600-h450-p'],4 stars,4
Alvi Liani,"The place is nice, but it would be even better if the cleanliness and maintenance were improved.",1 review · 1 photo,7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DQnGIoQHQHOFGL4mEpWDxONhFXjpyInien8FkLejUDJosLKQug-p1zYzRnZHQFUk0nIuwC2_eofuTBbDUnCvME-4kPjpRiKILscnJ7T5V_ZCDiJEXDcSUG2TPMoCCPFDRQiB-a=w600-h450-p'],4 stars,4
Aknan Mardaz,"A suitable place to relieve fatigue from work.
I am happy all day on holiday on this island😃🤩😚 …",Local Guide · 16 reviews · 5 photos,3 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90AiRU2bzo0BiXSL8x7SqkRhgTsGaK8JYg30A1o0SEoyou--nu7Yz8ixOVQKqkAEfLL4RFaJC5TnWV-PmlbIwHlDD3MpWuepilBfcg3qzhZul2gEKF3QLhJGS9j_7X3alx07y6Hu=w600-h450-p'],5 stars,5
Nopi Endrayani,"It's quite good for working up a sweat in various ways, but there's no water yet.",Local Guide · 16 reviews · 13 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90COTOy9ZBhTuf-7fkndtfGBB-Ok7TlMGGHMkVSWlsnD6bjYZg7yp6S6X0aib4_LJe5HBEy774qk06QoIQiNzYu4o46vlQAcA60kxzGQl8jMQeobbXeJaxu-07ImErXuKttGdih3=w600-h450-p'],3 stars,3
Dedy Setiawan,"If you visit Kumala Island, don't forget to go to the dragon pool which is located at the northern tip of the island, there is also a lembuswana monument supported by two pillars, and don't forget to take a selfie to capture the moment on Kumala Island.",Local Guide · 66 reviews · 21 photos,6 years ago,[no_minires_images],5 stars,5
mulat pawitra,"All rides and facilities are damaged and dilapidated. Not maintained at all. Even though crossing facilities, bicycle and electric motorbike rentals and the words KUMALA ISLAND have been added",Local Guide · 234 reviews · 294 photos,6 years ago,[no_minires_images],3 stars,3
Masyhurun Fiinaa,The place is no longer maintained,Local Guide · 91 reviews · 461 photos,2 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DAqPYQ4LJJzlI4A_cm3WxtILxVWsfaKfSoIkCbLDdXvKsGexKsHjLXF_aOzPJbwl1vU1tP9r7CYAen6HEnjjRdcErmqFVehui--MrN1AMrCEgDuHT2I0gEOs7ABL_0tGAIwT0T=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A2zt42KvGbNy4mxkQz9jBlw7Vi5m7LPqhaIasL9fdGUUNa5Vi15-qbOxoboEXHBcsSbQEuF3i4R67zbs__4Sna_vpqywOE_nGIg_EidlbQSjZeFnhr2drt0gJ_t57Sn-TT4s6w=w300-h450-p']",2 stars,2
Muhammad Noor Ansyari,Good but not maintained,"Local Guide · 81 reviews · 1,149 photos",6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90CLWS6Nrkx0SJLcpFCKaKMv4EpAstBGlXw_8dIbqtWaZ4ZnwCsd2M8QbuWXVv5OLYQJUR7j4V4gnO8e3N1TQFglKlhHoO81vDucbomLNWuBBwec2sxZ9bwEMT19kSVU5GOY5QRw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BOjdkzgt_07z5oiVPwFF11ZS9eBacusnN4Dd-7Geg6_jx7hkOvgYZSeo_rmK71OcOeUZAmTRdB7vRgfQy89KShUSday8pgwYbeZeTXoV1dmVLbzU3orAw4QXxGUwQ0AnQ0KecQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CyIkzlDZIyMcJ01OaYpSKetZ1nMjbmlOjsQxXutZ2_TSS4wGD57dGVeRVSZn2N0xyp3H3d0sJewtBpAm-3oFUuijYKkvMcsDXIYqKg9o06ufQtQYmw7aqbzejVbqoYRqQrZIk=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90ByAONMyOgQ6vgkpEMTnkOC6JbkPf4r5f9Fn0WXM16o4MRkHGWTX1N-bcH9VV2OnY1sPI33drLVJcIudGD1Acjaopx6IfN4sqnsci9ajZX-iLVEidjAoVqkngz-fH0StRyoFfeONg=w300-h225-p']",3 stars,3
Lilik Yunisa,"actually it's really good, unfortunately there's no information (boards or anything) that can tell you about the statues like that. It is located on Kumala Island",Local Guide · 92 reviews · 479 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90ABmUCytQ1nDinwGsnUaUz-52y1Um28hSKJ4ePjVz0a88FS1-COzZXqC62vpwqRxL4mVYJ74aUr3NAjNwGfA1ErqqM6pLfmWhzCOXtm18xjQjIxR7H2389fl9u4j5BmgnqGJCsu4Q=w600-h450-p'],4 stars,4
Saiful Wahap,"Maybe if it was repainted and the water pool was cleaned, it could be even better...",Local Guide · 297 reviews · 255 photos,5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90BoYs6nD2f11UdYID55nZx5A3i8QeJn6MCFA0dYV9IiowlouRo0E-l1ASr8cPgxRPnRA3-DmFW57fwgfDGVdwP6Y6pw6tigw-f_o9LbHGKcAUFRFiA7_DSF3z2EcGRi6TT6SVf4=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DvXp1DxqPT-vrlTNsQKsEn7GVwj_Yce8XI0iRxwzKrV3Me6Lz1SEB8o8CCv9O7G17cV10wk5Xtu9EXSgP3nLVk2gSvDZw9GGG6t_p_VIa_7_7QJum_M1w5JafaAMsaSJwDP6wm=w300-h450-p']",4 stars,4
Maduen Kiung,good enough to bring a partner,Local Guide · 58 reviews · 73 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90BRDVkMroC54g7uwKjFwX3ZZHzX3Jfq_9YVQiz7ghjMFyJ6Ibk_19eSQ1r_mKvCO1MQREKXLP0cI9wfyfd4lINuuyP7wUziEQaYOWKUWj-hrW8ShSj3YjB2wWCZjRkjNf9UFod94Q=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AvARy8FQ2b5ILpcFNfUliidBNBMe-UmPz-cmgUewe-nauB15Kao7Lx808m3PaozDr-Z8KvWzoCYQaR-jHZMzbKipcF95KF-YNM29nPu9VvXfPOOUZh1cJc3BPNyDi0m1IKO9I=w300-h450-p']",5 stars,5
Asih Landjaramis,"Good tourist attractions, places selling souvenirs should be around the tourist area, not just at ""stop"" places, so it's more lively, right?",63 reviews,6 years ago,[no_minires_images],5 stars,5
Vinny Anugraha,"The place is nice, but it's a shame it's not well maintained and in some spots there is an unpleasant smell","Local Guide · 678 reviews · 2,829 photos",7 years ago,[no_minires_images],4 stars,4
Wahdi Kurniadi,"The location is on Kumala Island (back part),
However, the pool water looks a bit dirty",Local Guide · 40 reviews · 13 photos,6 years ago,[no_minires_images],3 stars,3
Esima,"Actually, the place is good for recreation, but it's not well maintained",Local Guide · 7 reviews · 44 photos,Edited 6 years ago,[no_minires_images],3 stars,3
Ariel Papuan,"Tenggarong has various tourist cities... There are Ladaya and Kumala Island. There's also a museum there.. So if you go to Kalimantan, if you haven't been here yet, they say it's not legal yet.. Hahaha",Local Guide · 119 reviews · 336 photos,7 years ago,[no_minires_images],5 stars,5
Dodik mangun minaryo,"One of the tourist attractions in Tenggarong, precisely on Kumala Island. Nice place, but poorly maintained.",Local Guide · 63 reviews · 93 photos,6 years ago,[no_minires_images],4 stars,4
SENJA SH,"Later, if I become deputy regent, I promise to beautify this place, vote for EA 2040 😊 …",Local Guide · 231 reviews · 162 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90ARKWeV1Erw6QFpwHt-SnQTtoatqttijrTG6iGpzPvZpSQV43dRz6PhrtKWFvi_Ym9BkVSu2OUjrZF8hhynes58vet1dFqPtf5gSQ2TUUh5Gzn3tcxe6uBvisaQqx1U785HC2Bp=w600-h450-p'],5 stars,5
A. Rozak,"Very good,

Just the pool is a bit neglected...",6 reviews · 4 photos,6 years ago,[no_minires_images],5 stars,5
Devi Rusmayani,"Favorite place for family and friends, the road is also good and the views are really good too",Local Guide · 88 reviews · 9 photos,6 years ago,[no_minires_images],5 stars,5
Ratu Rohimah,"Unfortunately, many of Kemala Island are neglected and not maintained",3 reviews · 2 photos,6 years ago,[no_minires_images],2 stars,2
adi yusuf,"Not bad, it's just a shame that a lot of it is damaged and the place is not well maintained",Local Guide · 14 reviews · 3 photos,7 years ago,[no_minires_images],3 stars,3
Vhian DicaRI,Recreational place that is cheap and not too far away,Local Guide · 25 reviews · 307 photos,6 years ago,[no_minires_images],5 stars,5
Sopian Sanusi,"cool tourist spot, on an island in the middle of the Mahakam River",Local Guide · 12 reviews · 2 photos,6 years ago,[no_minires_images],4 stars,4
Kaumi Ika,Handsome. So a reference for those who like selfie photos.,Local Guide · 14 reviews,6 years ago,[no_minires_images],5 stars,5
Kang Hadie,"Explore Kumala Island... in the dragon pool...
Island in the middle of the Mahakam River in Kukar...","Local Guide · 384 reviews · 1,269 photos",4 years ago,[no_minires_images],5 stars,5
Dedy saputra,"The place is quiet, suitable for a family holiday",Local Guide · 27 reviews · 185 photos,5 years ago,[no_minires_images],5 stars,5
puspita deny,Hopefully we can visit again... Next time...,Local Guide · 51 reviews · 50 photos,6 years ago,[no_minires_images],5 stars,5
Komunitas orang Merdeka,"The place is good, suitable for children",Local Guide · 69 reviews · 11 photos,7 years ago,[no_minires_images],4 stars,4
arsyad rahma,It's actually good if it's maintained,Local Guide · 25 reviews · 63 photos,6 years ago,[no_minires_images],3 stars,3
Aiko_ Rize,[no_review],Local Guide · 8 reviews · 107 photos,a month ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90C6kZXiidZLcAzPapVpZMGuBshRKWTQfiTx2MIeB2knXYBhmaO543VMoZK6PxBp3hrdb1t0kzLVX6SuOfF6nwfZxW_xgi5S6011ACd3NZAdzV0VS7HqQ01p4pI8TXXUcvDGwdc=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90B-9NqDhbRxgWT_JfEIASo9KkZKS2xWXBcQp1Mx_ftHDbJxT4HKe7k9uHS8AyuZQ6pGI4_V4rxw2gAWkqkyqm4px5uO0KSUvWBqrd1UFuk7AQWlj3VFk6bXYdKdYwQ3UMI6Fb4dxg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BHFBsz6uJD6I5DsfwE4ULeEaOSWOr4Rnf-6bxEx8Chtlziyf5c-rOTOVzDAgc0gfgAv8u2Yay_p_VpUi39FllAAMcJg6ET03oW4KbTRImT8gA4By-JOn9ZWi9FAvt0YjcSXPbjXA=w300-h225-p']",5 stars,5
Fahmi Yadiza,dirty,Local Guide · 91 reviews · 197 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90BvKWLmSDKv4Fd2RGX1tmANKCbJ1QQ-6n4kdkhFx62r2rkKc4Bf66DJQFnD2YIitD-wSYRLCFICxi1TZrgQmWgcuvmil7MD8kVr_ndnFbQvhKSmVs2FZKPjojkWN3FC2DZGZzI1=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DggaKgzS2eK9d33rO8oVGzSybKqHvoXjuLnSGmKE3MS3svL-lsvrQoJwUxwjG7e-FW1OzkRv-W5TGFQUkjNBv0Zrt1bYF2RZ6Buh7QyoXf2wISXB6QsYVe2yOoChiEVjWUfkSW=w300-h450-p']",3 stars,3
Hari Hank,"It's good, but not well maintained",Local Guide · 36 reviews · 71 photos,5 years ago,[no_minires_images],3 stars,3
Muhamad Halim,Now it's even better,Local Guide · 14 reviews · 28 photos,a year ago,[no_minires_images],5 stars,5
J Hanafi,Dragon stories attract the attention of my children,4 reviews,6 years ago,[no_minires_images],5 stars,5
Rpn,The pool is really dirty,Local Guide · 113 reviews · 244 photos,6 years ago,[no_minires_images],1 star,1
Ahmad Ripai,Very nice offering a beautiful panorama,3 reviews,Edited 3 months ago,[no_minires_images],4 stars,4
An Nisaa Nofita,Unique,Local Guide · 186 reviews · 147 photos,Edited 4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90CZrse62e35e0g6rl58zqNrOM6PNONF0apGkGSwItS8tP27OD0WoP6BDOn4gLQo_CK5f8Do_LQ-6681SZ0iu6Lxv0Xmrmpee1Ig-S578SCx5374O1AS8n9sf0t8BKlPdaWecwvWLA=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AE8XIBvrn3IbWCjZiT8T7iidqKmjncXiSER0WUTM8-pM6rsC3CIhJ5jZ9PberpsXjHdzOuicooFvoBKiXBFVWTmyZLQHkQy_F5ZfoFctvXpYJdYbtud43eOh0PshXX9dP23d3I=w300-h450-p']",4 stars,4
fina gade,The pool is poorly maintained,Local Guide · 27 reviews · 18 photos,7 years ago,[no_minires_images],5 stars,5
agus sopiannur 12,[no_review],4 photos,7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90B84vdWurMvs3_kDOJsYgC32qnukU5Us6XTJHf9rsblz_PxjDlmR3sVMQwfV-bxh7E6zlkHvgCBMOa-7prX5fhUv7RCAPAgoUZy10eePzPOjjGH6s1D_b09-iYSfa7t98qQ_YFo=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CVHgZwXfP2RM3irbH1lYEJgA-Nv4fXY-JwKr69Lqh_Ws8AQ7jJx-6az35zUizXQPZ4ABCOMOSurOSs5wN71uAtf8c7TaEWRgexvYV1KoRVzfMnQkUfgwrzyYmbnt0lVt_sqp4=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DHD7pzpT4st-W69hK2Lart8b8jJ_7AH5FKAJAcbQyRIFzUf1o70aNMllahroBYMsplBvWlYEQU6OX0_aO6nGiXAGv1MQhEGsxkKXxbUQ_EJzwXcNmxo9gNyUs3n868w1WTcPzJ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90D_3V7QlOtfPR_-22-WZilnZORGTX9RSL0K4FnQPH_0XhGbrxndWhR02ivBftYXTkhhTCic0WzvQMkhRCK6pBCHLoCl7cgPVEsc10L3hWnKbQbbslrDODGlmS5ZyeW3r-s6wUkv8w=w300-h225-p']",3 stars,3
Suhadi Kustiono,Very good to visit.,Local Guide · 26 reviews · 55 photos,8 years ago,[no_minires_images],5 stars,5
mayda rahman,[no_review],Local Guide · 46 reviews · 111 photos,7 years ago,[no_minires_images],4 stars,4
Taufik Hidayat,A cool place for a holiday in the Tenggarong area,Local Guide · 15 reviews · 2 photos,5 years ago,[no_minires_images],4 stars,4
Michael Dennis,Stunning statue..,Local Guide · 126 reviews · 17 photos,7 years ago,[no_minires_images],4 stars,4
zidni maulida,It's better to keep it clean,4 reviews,7 years ago,[no_minires_images],5 stars,5
Magfrian Syah,Pool with dragon statue on Kumala Island,Local Guide · 166 reviews · 113 photos,8 years ago,[no_minires_images],5 stars,5
Ali Syukron,Not maintained,"Local Guide · 157 reviews · 1,035 photos",6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90Bfmiv1eaVSlJ0tZcdSkg_oJcswtBYMwyacejRaDG-5GErWSaNuL7pGAEXhPEmCaDf87ZbhJ5Hoq1KFk7PuY5HsBKNMLG0XvyYW7__NQtrtdmihYMIpXj7khNxDIW8WG56QTjts=w600-h450-p'],2 stars,2
Dewi Mayasari,Poorly maintained,Local Guide · 43 reviews · 70 photos,6 years ago,[no_minires_images],3 stars,3
Hans,Very good,Local Guide · 127 reviews · 644 photos,5 years ago,[no_minires_images],5 stars,5
Agung Suprianto,Diorama Statue of the History of the Kutai Kingdom,Local Guide · 286 reviews · 131 photos,7 years ago,[no_minires_images],5 stars,5
Aditya Satria wardhana,[no_review],Local Guide · 1 review · 10 photos,7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90D9hv3T4hoqjkCkaxCjpfg8lC7f-S_HtPpcj0g2_dg8Fq5KSilbu3pt_o45Y3oOwV5P7NXcBtV5My3AOs4Srx1g-VnOEa_qPnZJG1t-Y0jtTxtuF2-apfvw2K9-qjIAc1JzuachnA=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Cm8PR0hA5MD2NCR4AqoHNabiSi95F3F03qkJqccNMkU2nZ9ScmEqm-2d-kBTeD_3JmwS8RYvvRPnl1NWzQdV6A024Z_lEP1TLjXE3o0R6CRYCOylB_WR9eWbHS0BrYT4x6IRaBQw=w300-h450-p']",4 stars,4
Sudarhana,How fun,Local Guide · 23 reviews · 123 photos,6 years ago,[no_minires_images],5 stars,5
Alfaya Kurniawan,Untended success,Local Guide · 173 reviews · 154 photos,7 years ago,[no_minires_images],5 stars,5
Abbas Aja,Relax 😀😀 …,4 reviews · 4 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90Dah_DBy2tnACKvAaagXRBhMpZ9du2pzjvzljuUJ0AYe2ZhrW4desRaClpu9U_AAx-6a-Hh3wNW1WkO_W5dcW9H7MYT5YKot_PUrZEWlNJD8Xg6u-rUC9yeREuF_wbL4oJP8BxW3g=w600-h450-p'],4 stars,4
