name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Ardhy,[no_review],Local Guide · 16 reviews · 48 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90CalBHJEvdfOqLKJ81Tgi0ClnPrMxQnEA8XO1n0UXFNAMMbCI9Aul89P2UT5ez7s-4YVrSnLTJJ04W8nlAucH_R4Jnf3Bg9WsqsnN5UPYFcTkNA0ZpjAJB8ETLIyv1OL8In2WXw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A2LrV8_JtvJROV5ryhyNtZVMXkVWSz0BA4EJu3GNSmwJy3JEnObYByaTqUA6W4Ej3wXUwzsFb9yJgcO-r6GIFMDFT7QD3zbOzfd5fC5dbMhUjg0NagPZXIzz0WbcMI09biPy_s-g=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DTMKK5djriFQP7xWgOG6kgfQD1K1_bJqj1CG-Wvti2509idtg-_-OinMdRHhsd1XKbZ9Id-tRanuvjudFDrcYgv-Fn5maUbpixoSB1-xfIP_XqiinCMUD0xnZ33MRulGEOatk=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DmS9NazXZLrhj7--gWabH5fSJKBLnonaIJ2c-gAp7nXtp4nvlLnelVsmdd6SCCY-NJ7hU9zhMfQ4h1ktI3VO6idoMcaCKQsotstcv6a3w88kfpA33_9fQ2wKk3FwzhGyk_u7g51Q=w300-h225-p']",5 stars,5
Kawi Boedisetio,Statue of Kutai Kertanegara Emblem,"Local Guide · 4,609 reviews · 122,599 photos",7 years ago,[no_minires_images],4 stars,4
RHarahap04 rm.,[no_review],Local Guide · 3 reviews · 50 photos,2 months ago,[no_minires_images],5 stars,5
Bambang White,[no_review],Local Guide · 186 reviews · 478 photos,a year ago,[no_minires_images],5 stars,5
Lira Yonanda Harahap,[no_review],Local Guide · 6 reviews · 47 photos,a year ago,[no_minires_images],5 stars,5
Sapri fiverz,[no_review],Local Guide · 9 reviews · 46 photos,4 years ago,[no_minires_images],4 stars,4
SRI SULASTRI,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Herlin Sofrinda,[no_review],Local Guide · 21 reviews,5 years ago,[no_minires_images],5 stars,5
chai siswandi,[no_review],"Local Guide · 424 reviews · 2,426 photos",5 years ago,[no_minires_images],3 stars,3
Darmin,[no_review],Local Guide · 51 reviews · 15 photos,6 years ago,[no_minires_images],4 stars,4
Rahayu Pradita,[no_review],Local Guide · 37 reviews · 21 photos,6 years ago,[no_minires_images],5 stars,5
Burhan Kurniawan,[no_review],Local Guide · 81 reviews · 934 photos,6 years ago,[no_minires_images],4 stars,4
Sungkono Kono,[no_review],2 photos,6 years ago,[no_minires_images],2 stars,2
Ricky Hidayat,[no_review],[no_contrib],6 years ago,[no_minires_images],1 star,1
Rhizka Intania,[no_review],[no_contrib],6 years ago,[no_minires_images],5 stars,5
Rafly Amanda,[no_review],Local Guide · 17 reviews · 25 photos,7 years ago,[no_minires_images],4 stars,4
Jeni Meilinda,[no_review],[no_contrib],7 years ago,[no_minires_images],5 stars,5
Indra Praja,[no_review],[no_contrib],7 years ago,[no_minires_images],5 stars,5
rahmani aman,[no_review],1 photo,7 years ago,[no_minires_images],4 stars,4
Eko Prasetyo,[no_review],Local Guide · 1 review · 21 photos,7 years ago,[no_minires_images],3 stars,3
Azka Nur,[no_review],[no_contrib],7 years ago,[no_minires_images],3 stars,3
