name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
lasiyah lestari,"it's hot, the weeds are too high, the roads also need to be repaired",Local Guide · 10 reviews · 49 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdlPcUV1jW3Ig_idAFKke8IEuoZ3SXkiD3bIVN3C446Ec1MarxMICp5V3mlxbkuc0PbpOAmEcDS2tER9gOCnCI9DsgklA3L46zl_PV_2U8mEdxS87tXeFdsUKw9SMtk_Z9w62wO6xw=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl8CUmJ9HdRW4ICySzUK5poCiFdH9HtwI_3fK1R1Q_RUyBaEevgMDwQIFom-lKaFsOXCJyHcMDd1PxV_C4ycXdYjKT5rBaOGG1U6xtzZ1-z1JiPB1wZE1PRg9GmKKyyjWlccuHqmg=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlWJErj2dfIlv7Qfr4GatSVuqu91ClwvEKgKU6unUOiE3sxFJLulbZyXGj15_Z8R5enUMf9x9HQzNaEKEQdoDbN08lpLCV6nZY5dNoKda41XVyVuByv9DhbE0JGThQ9VQQ_L6g=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlNpjzHt2121giSRW3Mvfbo7_Wdpp8APhT6AeQZxq5eKDTxFdPDbEZi1SmjdTD5KWPGjJHjZcm-ekVPTd0LMbSBBONgHChT51cVW5sVc6dN5nYVp1H0ZtMF5DAFgaK5FFiFicZX=w375-h281-p']",4 stars,4
kusuma prabowo,the statue and pool are still good. It would be better if regular maintenance was carried out so that the photos would be better,"Local Guide · 610 reviews · 2,563 photos",6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmQIbtVuIunCTM4msKtfidNyZDQFlAVMuhGFaTF-u9rf32jCMH4AiKELLA84fr9rCIMfqJX7WP6nVxxxds5__GTFviL1jvKXOnYYnrwK7qtxzMdszrnVsZGy2FIH91bJj2h4muRnw=w750-h563-p'],4 stars,4
Aknan Mardaz,"A suitable place to relieve fatigue from work.
I am happy all day on holiday on this island😃🤩😚 …",Local Guide · 16 reviews · 5 photos,2 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkFA3CBDPv4h4QFKpvGVLvLU3vHgPhu2b2pVfg9aRClSKmluwPHvZJu32mB6a3lplegSV8MMZRwcKyhtjhQlHxpueJtbpvqpOQQomRMBt3KTMg6VOA9lzejCkm17yofQNLanXhj=w750-h563-p'],5 stars,5
Alvi Liani,"The place is good, but it would be even better if the cleanliness and maintenance were improved.",1 review · 1 photo,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmBBVNVDRydwLppJaDiwGqhkU_7PUg36lZ4DQCRyq_k3T1YwEnmN4Ui5aTtAxPglsPL5nOD5qEknLvsHxqMOU7t65f-lgfFqUNMPa802zta70PdyPWV59ptkmOOLfr_995ujIPK=w750-h563-p'],4 stars,4
Nopi Endrayani,"Not bad for finding sweat using various paths, but the water is not yet dirty",Local Guide · 15 reviews · 13 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmWHk3WKWkkIe5k10kUTTNC_Iu2TJ8DP6UJaoiSpCFNJOLILbevYrfrsvWNm0gieqELpy_kaJuXT2eCx3N4WaiUcSC2PN3ViwLEEJ_pwRvRX75lL6hPmLDmmIgiFGGwite4Vjvf=w750-h563-p'],3 stars,3
Ahmad Ripai,Very nice offering a beautiful panorama,3 reviews · 1 photo,7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnmzy1L3PWAwqjNsCxf0GlrgAaMFYjtaOsZ3ncd6U0YXF0Q87rl49JDG4p2Q1kAdUuqaF5GXLNGIVuur0mEZbUkpDCJkAzKrvF2g6v-EYzL_-mlFUNxxH4Nqs6DKM6L5DbC4-53=w750-h563-p'],4 stars,4
Dedy Setiawan,"If you visit Kumala Island, don't forget to go to the dragon pool which is located at the northern tip of the island, there is also a lembuswana monument supported by two pillars, and don't forget to take a selfie to capture the moment on Kumala Island.",Local Guide · 66 reviews · 22 photos,5 years ago,[no_minires_images],5 stars,5
mulat pawitra,"All rides and facilities are damaged and dilapidated. Not maintained at all. Even though there have been added crossing facilities, bicycle and electric motorbike rentals and the words KUMALA ISLAND",Local Guide · 236 reviews · 298 photos,5 years ago,[no_minires_images],3 stars,3
Masyhurun Fiinaa,The place is no longer maintained,Local Guide · 103 reviews · 473 photos,2 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdn7S8HFRq_eP-BGCxykaiSgP77HHj7H6Iib9qoofvDC533WSBh1A2MXK-c_t1C1Xk_bnfGW58DNtvPQqejsG2btAaEwkjMLWcIii8RnpCCqLao6ajeneAtL8psilqctlD91OvOW=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnaBpNdzH3rGzzpTRavgSILp94hcJQpsmwHAxockvl3XBBL9KOV_-ZhMf_JoF2gD-ZpkfV_tZyHsgy1Khe7rfFAw0eT2sTnryngSRqpVpfadLVe16LpN7jWFkvorxkvt2IXyGIT=w375-h563-p']",2 stars,2
Muhammad Noor Ansyari,Good but not maintained,"Local Guide · 81 reviews · 1,173 photos",6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmh398JKkjE7EVunONsMfziDvuEoGfIN74oP3S9z3cKP2q64DocA_DtKcRYsvmH3-gL1XNxUlV4MMPSAE4zm15G5J_sbWGVe7EleA6MFEAeskC7NicMCgyw9bdBlhPBWrxMPZHa=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdk3dFiT7jS1i3dAq05wOvjlii3NANvcFAYsn99s7Usz1GuG0GCz179TBztyy2jxJ95Qcm1PGBBdr2WSCriB2neN8M5PYUWsRFfdJ-aPsDLibtFBDA1lCTLAaCA_LJKsZMMjA-Bh=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnRDrt_zTfAl2-DVN9xyjA9S3GEwuMcFuF8OMXSh4-TxZ9AKgFTrhgi6zqLrP79iNj9H9XIj4ercX2r15U4FN2HeC7H4HFIA7Rm3ooUGiXGxZPzPpCYau1Zk8SvubxjNzjVmCM=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdndxZWpu8SOMWxlh07I84aeRQGpM4kjQoZE-7YqOOOPxNraagW3E7Wgf7thJmM2h0b-uCyc8nBPFgEyb-4YqPkO7O1V-eRme3BN1IbKwEDlG1Ppq-C7cGwSe98F5feyxky7VT3-vQ=w375-h281-p']",3 stars,3
Saiful Wahap,"Maybe if it was repainted and the water pool was cleaned, it could be even better...",Local Guide · 285 reviews · 239 photos,5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdm6QQONzvlSVR6psOxyHkbqWj7lpdQwVmhQh9INGyBE_GlUPumUPcKUjZpM_vEOlucPJqamj7tzTndTAY8H9c1yopTesRGkhhF8Pdfc5WvFraXCjcKngqINAtqeDBDj0flyV7fW=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmZTAlzQxW_sXQx8fHx6yuYJ-N5OoHVaf7jA5YvDbSmaLwRs_DP9eMaAg5dFWhBbh4SyvLPlgkIL4QElUicPSktKns7WA7GBZ3wi2IrxH9ziDi81LG7qONzqTTZQfvkyV19xD_B=w375-h563-p']",4 stars,4
Maduen Kiung,Not bad for bringing a partner,Local Guide · 59 reviews · 73 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdn_PtG1xVKD0a1vGYTlkM3TubPShOO4Z3x5V90V8otHTq2MNRk4Im08cslxkKCED19IfOotxMZCyDRky-uOtQlhBPOWLq9knKSHKGRLsr8zJfVd_lmWlaI7xmZbNMYrd5e84auD5g=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdn8LlQYPlwl0sxWTkqPkjgF0qWpd5Al7Wo_ZoVH3ahhGcyS_OKfmH6CQ2IObfo0wicVRA9rZea6lJbE_24KDF8FyMPflqWFGYtRpX9O0yBVJbktw7j2nkVoY3rHlZ7vYu64To0=w375-h563-p']",5 stars,5
Lilik Yunisa,"actually it's really good, unfortunately there's no information (boards or anything) that can tell you about the statues like that. It is located on Kumala Island",Local Guide · 92 reviews · 472 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkEB-wkII4MEtMom49Iov2vvmOei6HOV9P6jPbw2q_4OHevh7Rm8L2tLsPQa2aC3WjIIR7K9IA8OEffKY3eTC-arx7XaffgPwCOHvE6Rls3LSN8LPS2HvQf1gxLQghYY3gX8GK0Fw=w750-h563-p'],4 stars,4
Asih Landjaramis,"Good tourist attractions, places selling souvenirs should be around the tourist area, not just at ""stop"" places, so it's more lively, right?",63 reviews,6 years ago,[no_minires_images],5 stars,5
Wahdi Kurniadi,"The location is on Kumala Island (back part),
However, the pool water looks a bit dirty",Local Guide · 32 reviews · 13 photos,6 years ago,[no_minires_images],3 stars,3
Esima,"Actually, the place is good for recreation, but it's not well maintained",Local Guide · 6 reviews · 44 photos,5 years ago,[no_minires_images],3 stars,3
Ariel Papuan,"Tenggarong has various tourist cities... There are Ladaya and Kumala Island. There's also a museum there.. So if you go to Kalimantan, if you haven't been here yet, they say it's not legal yet.. Hahaha",Local Guide · 119 reviews · 338 photos,6 years ago,[no_minires_images],5 stars,5
A. Rozak,"Very good,

Only the pool is a little unkempt...",6 reviews · 6 photos,5 years ago,[no_minires_images],5 stars,5
Dodik mangun minaryo,"One of the tourist attractions in Tenggarong, precisely on Kumala Island. Nice place, but poorly maintained.",Local Guide · 63 reviews · 93 photos,6 years ago,[no_minires_images],4 stars,4
SENJA SH,"Later, if I become deputy regent, I promise to beautify this place by voting for EA 2040 😊 …",Local Guide · 237 reviews · 162 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdndnqqWqMsbUfnoEin-x_9HZ36eLaysuut4-Yt82y3aI3dlLxNF1zUUUJb7yaAqlNoAoMMHa5-vlaYIAx3qwV1T-N2vZGjLbp9H7ViftS-5CBz-GJwPYPIVV_Actj5pHxf5Il00=w750-h563-p'],5 stars,5
Devi Rusmayani,"Favorite place for family and friends, the road is also good and the views are really good too",Local Guide · 88 reviews · 9 photos,5 years ago,[no_minires_images],5 stars,5
Ratu Rohimah,"Unfortunately, many of Kemala Island are neglected and not maintained",3 reviews · 2 photos,6 years ago,[no_minires_images],2 stars,2
Vhian DicaRI,Recreational place that is cheap and not too far away,Local Guide · 26 reviews · 310 photos,5 years ago,[no_minires_images],5 stars,5
adi yusuf,"Not bad, it's just a shame that a lot of it is damaged and the place is not well maintained",Local Guide · 15 reviews · 5 photos,6 years ago,[no_minires_images],3 stars,3
An Nisaa Nofita,Unique,Local Guide · 186 reviews · 146 photos,4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdn0X57ddXuahxM4zRg1FugSDlRzOiKVwDn5OoBgvztZ_l8w4BQ56LqjWaCsAlPvkZugCuchVvtq-0UcoQIYC4m48tGOLlLf0rs69x_dz4toSZmDmwLbLtt1iuHCzgdPbM97QZNduw=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl6-RnGaRjEkcMqYkIwTOz1zZ14cedDyDsq_Y4yiLvX31GRQ3gah2_8Wp2iCaKLJPdu9xeRzw2iJuqIGm3M6tUWZOdAFVG_gwMG6WuoXjw7dn0GjO7XaBJ6XUdnjsEBLZYyGzws=w375-h563-p']",4 stars,4
Kaumi Ika,Handsome. So a reference for those who like selfie photos.,Local Guide · 14 reviews,6 years ago,[no_minires_images],5 stars,5
Kang Hadie,"Explore Kumala Island... in the dragon pool...
Island in the middle of the Mahakam River in Kukar...","Local Guide · 351 reviews · 1,265 photos",4 years ago,[no_minires_images],5 stars,5
Dedy saputra,"The place is quiet, suitable for a family holiday",Local Guide · 27 reviews · 185 photos,5 years ago,[no_minires_images],5 stars,5
Muhibbin Ulama Kaltim,"The place is good, suitable for children",Local Guide · 69 reviews · 11 photos,6 years ago,[no_minires_images],4 stars,4
puspita deny,Hopefully we can visit again... Next time...,Local Guide · 51 reviews · 50 photos,6 years ago,[no_minires_images],5 stars,5
arsyad rahma,It's actually good if it's maintained,Local Guide · 25 reviews · 64 photos,6 years ago,[no_minires_images],3 stars,3
Muhamad Halim,Now it's even better,Local Guide · 14 reviews · 30 photos,a year ago,[no_minires_images],5 stars,5
Fahmi Yadiza,dirty,Local Guide · 90 reviews · 199 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmaXg-zyDGMvkXhcfmmrSpSRpcl1xbclezVQc-LupUXZXwAetIH1fKU6kHc4M_vUW86CH1KrIgoyT9ofmMXtX2HPqBYOWfMW8geworzF30aE8jhsCZeLL9fQbire_ZOrn_EnAXS=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdk2Asmzk7IiY-5SiV5o7GCAQ7_TthoxVi15Bl52_kcySfvE7VyfvAsWG5idgCkTK0XuZih4JekOeCdUPCVIIGVtpKu0JBwabhoH3MU9AMvIW5NQFzoz6IIjUnqfzGA1vnAMxK5u=w375-h563-p']",3 stars,3
Hari Hank,"It's good, but not well maintained",Local Guide · 31 reviews · 68 photos,5 years ago,[no_minires_images],3 stars,3
J Hanafi,Dragon stories attract the attention of my children,4 reviews,5 years ago,[no_minires_images],5 stars,5
rina purnia,The pool is really dirty,Local Guide · 100 reviews · 233 photos,6 years ago,[no_minires_images],1 star,1
Vinny Anugraha,"The place is nice, but unfortunately it is not well maintained and in some spots there is an unpleasant smell","Local Guide · 640 reviews · 2,673 photos",7 years ago,[no_minires_images],4 stars,4
Sopian Sanusi,"Cool tourist spot, on an island in the middle of the Mahakam River",Local Guide · 12 reviews · 2 photos,5 years ago,[no_minires_images],4 stars,4
fina gade,The pool is poorly maintained,Local Guide · 28 reviews · 18 photos,7 years ago,[no_minires_images],5 stars,5
agus sopiannur 12,[no_review],4 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdlX_8atINuwonx9kDGrl9EN4clU16ZRqhS0u6KZxT5QzrsYiyW4CYisFN5ZFdy4Uxu7p3u4_V78HVLeRTN7ipOwPwHn-vyPK_Hb658ZrKQXUHWiX8EnNyt7FTVCKK-7l930sPTm=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdk_SAY8iKhv9bzc2zUseEg1ailfOxFfVtPh1xXzvFXzDWLmddYR7q8r-QUsJBsygnRKpjOx9LFRyw858K-FC5N5DiErtraKE9FaqLWhFT0uL--Ub5D9vDEFgQQIq80HrmpOuf8=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl0Mwrr8q8nh9Dbu5TA_xsb5xZbvR-IeqmCr8WVh6zGf-NSvoqWHxZNy7cVLbMU5Xqc1384u9zgl0MgBUaI9UpwuGGBmg1R3_Ro6pKMx5YiY9LX--KMb2ed4NDFtioOlZzlv6SJ=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnSOFwM9WBMzLlHcGtKkp57nhBuGcsuIqnxQv7R0kq6HKi6VvSjCOS81e-4kemsxXQllPw90oRt9JOFWFs6iJFIe9-1gaBk0H584Z18MVvZRoKyK9uqOUmODPjq7nbsJ40f2YEd2A=w375-h281-p']",3 stars,3
Suhadi Kustiono,Very good to visit.,Local Guide · 26 reviews · 55 photos,7 years ago,[no_minires_images],5 stars,5
mayda rahman,[no_review],Local Guide · 45 reviews · 112 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnCTcgB5e7-lwvkmNGhk3TWfzb8L7V8F_ugj4UipeXLAOZa8YlpKdJTSpNYvZe2Q38DYOpiSXt5qcnuUEj6sDt4yzzZpzQoKlDiILwc3HTsJ-LOo-gKHd_M1vPkPeLK_tCMmuDQ5Q=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlTvWZwnMsbPKQdmld-w65Ju68kuYlDcGzqOOIQgV9WFhNlr9MmGbxUnMepCPDJui7FbjuSIbibVJfbHmPsayAl23YDjFd5udHDF1KG10ihyFVaxbOkEH10-JVrzpmVbeseuU4=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmKGIAETe-NZjlzLMmvkXSDn9T-M0AZb3xqeXG0OhTXfgVAhUZ1LqOMxTU4P3JmI6esXtMBG-aY3S5D--qSqUUBr4YUNfg4Ayu4caRPlrGSnpXaK8wOdwGrV9hE3ltjsoKwKIDN=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlHRKVztm8o2-Ic-Ss1kHlubYzYAL4Cp_X-lG-iHjn3p6da2nlfHlK5GiWPQuopz7-grBPSZpcflT2p4dsRh37gqXk8mSGm_eljknmrtzEYLaS4Z6XkaZvU-7EbJ17YnEAUFozPcA=w375-h281-p']",4 stars,4
Taufik Hidayat,A cool place for a holiday in the Tenggarong area,Local Guide · 15 reviews · 2 photos,5 years ago,[no_minires_images],4 stars,4
Michael Dennis,Stunning statue..,Local Guide · 128 reviews · 17 photos,6 years ago,[no_minires_images],4 stars,4
zidni maulida,It's better to keep it clean,4 reviews,6 years ago,[no_minires_images],5 stars,5
Dewi Mayasari,Poorly maintained,Local Guide · 39 reviews · 70 photos,5 years ago,[no_minires_images],3 stars,3
Magfrian Syah,Pool with dragon statue on Kumala Island,Local Guide · 167 reviews · 113 photos,7 years ago,[no_minires_images],5 stars,5
Ali Syukron,Not maintained,"Local Guide · 157 reviews · 1,053 photos",6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkz3Jy6mEcFHMSqqsFjKxHLIHQGTLMhUHD0eDVqEg8VUmkjbnQZb-JgZnEDLn41p_Kw5O4NVElZNp0BDJSxcTRIUT_eJmYw-jJQ-qyVE8H2lW7801Lh-zib0UQjza6Dcab34dBg=w750-h563-p'],2 stars,2
Hans,Very good,Local Guide · 126 reviews · 644 photos,5 years ago,[no_minires_images],5 stars,5
Agung Suprianto,Diorama Statue of the History of the Kutai Kingdom,Local Guide · 291 reviews · 145 photos,6 years ago,[no_minires_images],5 stars,5
Aditya Satria wardhana,[no_review],Local Guide · 1 review · 10 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdlEQbv_O8FzqlJBaod-iQkHFHgVWFGVXbaqZLzqMJ_kXidCXmQO-XCMzgegZwJkw6ypQBpec2MWr8IO-YB_vfOn1nAnW5JnZxa6UM-ketgVL6gAaI9wqCtvDVBNX9T650fl05BiOg=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl3VWR8o735spM-46fWHQEnrdCIaZvf4tt1yfs-bvUjaIC7j1Zn842Kzz94ZHkqiMRuTxKAIgw5AEq0Yhmc-1_Bd0o8SSpAPbIhd7vwP4ISvA2poDvfTm2akcQY3u_qD9aFZ2uJAQ=w375-h563-p']",4 stars,4
Sudarhana,How fun,Local Guide · 23 reviews · 130 photos,6 years ago,[no_minires_images],5 stars,5
Dinara dinara,Family tourist spot...,Local Guide · 23 reviews · 7 photos,5 years ago,[no_minires_images],4 stars,4
Alfaya Kurniawan,Untended success,Local Guide · 168 reviews · 152 photos,6 years ago,[no_minires_images],5 stars,5
Abbas Aja,Relax 😀😀 …,4 reviews · 4 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdk5Ezkk83abJtS73_zLYoxso-FLjFJ9T1pxLrU6mbhIC_7ZPatIAvYRNSIm5uzqU2M91pzfGokAXHJEN3NDeH4TZA8YSkdidEfe_7Al_Cfcgo2gK7wJkamw5z2nu3HmAdFOM6c6uw=w750-h563-p'],4 stars,4
As Akbar roh,Kumala Island,28 reviews · 6 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkKmlXv-gPzjbvBZd8iyLvSORJwosBszp3ZpANR0bbl3-I9B_bKeLg5qVgmxULeRY--C4IFqazDUW6lRpVH71YxSu2jt5k78MyttbDiLJ1JDxM6WVMs0BbcFRiMF0ii8tqkMJ6w=w750-h563-p'],2 stars,2
Deri Pratamaaa,[no_review],5 reviews · 6 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdntNdJuHuier_p6Rja4vOOmujh2EZUegVvW4klsbz83Ya6tFUGHfc8AE5FJVsjrGA3KAkrsKVpB1cr5jo-TTj-_czvvWz7rVPzfm3JjKKzGPQe2tlQ_VRHJi0tglfcd3KRHoWQV=w750-h563-p'],5 stars,5
